,Entry,Entry name,Status,Protein names,Gene,Organism,Length,Gene16,PP,gene
2230,Q88RW4,Q88RW4_PSEPK,unreviewed,Putative transposon protein,PP_0015,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),319,PP_0015,PP_0015,PP_0015
1673,Q88RW3,Q88RW3_PSEPK,unreviewed,Uncharacterized protein,PP_0016,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),638,PP_0016,PP_0016,PP_0016
4542,Q88RW2,Q88RW2_PSEPK,unreviewed,Putative transcriptional regulator,PP_0017,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),119,PP_0017,PP_0017,PP_0017
4694,Q88RW1,Q88RW1_PSEPK,unreviewed,Uncharacterized protein,PP_0018,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),280,PP_0018,PP_0018,PP_0018
3234,Q88RW0,Q88RW0_PSEPK,unreviewed,Uncharacterized protein,PP_0019,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),232,PP_0019,PP_0019,PP_0019
4594,Q88RV9,Q88RV9_PSEPK,unreviewed,Uncharacterized protein,PP_0020,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),291,PP_0020,PP_0020,PP_0020
1435,Q88RV8,Q88RV8_PSEPK,unreviewed,Uncharacterized protein,PP_0021,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),307,PP_0021,PP_0021,PP_0021
1889,Q88RV7,Q88RV7_PSEPK,unreviewed,Uncharacterized protein,PP_0022,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),54,PP_0022,PP_0022,PP_0022
3083,Q88RV6,Q88RV6_PSEPK,unreviewed,Uncharacterized protein,PP_0023,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),42,PP_0023,PP_0023,PP_0023
3792,Q88RV5,Q88RV5_PSEPK,unreviewed,Putative membrane-associated metal-dependent hydrolase,PP_0024,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),565,PP_0024,PP_0024,PP_0024
261,Q88RV4,Q88RV4_PSEPK,unreviewed,Uncharacterized protein,PP_0025,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),50,PP_0025,PP_0025,PP_0025
3450,Q88RV3,Q88RV3_PSEPK,unreviewed,Putative cobalt/cadmium/zinc exporter,PP_0026,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),301,PP_0026,PP_0026,PP_0026
677,Q88RV2,Q88RV2_PSEPK,unreviewed,Uncharacterized protein,PP_0027,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),146,PP_0027,PP_0027,PP_0027
3064,Q88RV1,Q88RV1_PSEPK,unreviewed,Uncharacterized protein,PP_0028,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),108,PP_0028,PP_0028,PP_0028
4757,Q88RV0,Q88RV0_PSEPK,unreviewed,Two component heavy metal response regulator,czcR-I PP_0029,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),224,czcR-I,PP_0029,czcR-I
2910,Q88RU9,Q88RU9_PSEPK,unreviewed,Sensor protein (EC 2.7.13.3),czrSA PP_0030,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),472,czrSA,PP_0030,czrSA
231,Q88RU8,Q88RU8_PSEPK,unreviewed,Uncharacterized protein,PP_0031,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),195,PP_0031,PP_0031,PP_0031
4488,Q88RU7,Q88RU7_PSEPK,unreviewed,Uncharacterized protein,PP_0032,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),73,PP_0032,PP_0032,PP_0032
2077,Q88RU6,Q88RU6_PSEPK,unreviewed,Putative undecaprenyl-glycosyl transferase,PP_0033,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),484,PP_0033,PP_0033,PP_0033
3549,Q88RU5,Q88RU5_PSEPK,unreviewed,Putative bactoprenol glycosyl-transferase from phage origin,PP_0034,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),327,PP_0034,PP_0034,PP_0034
383,Q88RU4,Q88RU4_PSEPK,unreviewed,Putative bactoprenol-linked glycose transferase,PP_0035,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),139,PP_0035,PP_0035,PP_0035
1719,Q88RU3,Q88RU3_PSEPK,unreviewed,Putative transcriptional regulator,PP_0036,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),322,PP_0036,PP_0036,PP_0036
2929,Q88RU2,Q88RU2_PSEPK,unreviewed,Porin P,oprP PP_0037,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),429,oprP,PP_0037,oprP
2311,Q88RU0,Q88RU0_PSEPK,unreviewed,Uncharacterized protein,PP_0039,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),341,PP_0039,PP_0039,PP_0039
4464,Q88RT9,Q88RT9_PSEPK,unreviewed,Uncharacterized protein,PP_0040,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),74,PP_0040,PP_0040,PP_0040
4243,Q88RT8,Q88RT8_PSEPK,unreviewed,Cadmium translocating P-type ATPase (EC 3.6.3.3),cadA-I PP_0041,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),665,cadA-I,PP_0041,cadA-I
1682,Q88RT7,Q88RT7_PSEPK,unreviewed,Uncharacterized protein,PP_0042,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),107,PP_0042,PP_0042,PP_0042
1598,Q88RT6,Q88RT6_PSEPK,unreviewed,Cation efflux system protein,czcA-I PP_0043,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),1053,czcA-I,PP_0043,czcA-I
1850,Q88RT5,Q88RT5_PSEPK,unreviewed,Cobalt-zinc-cadmium resistance protein,czcB-I PP_0044,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),416,czcB-I,PP_0044,czcB-I
2552,Q88RT4,Q88RT4_PSEPK,unreviewed,Cobalt-zinc-cadmium resistance protein,czcC-I PP_0045,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),423,czcC-I,PP_0045,czcC-I
3774,Q88RT3,Q88RT3_PSEPK,unreviewed,Tyrosine-specific outer membrane porin D (EC 3.4.21.-),opdT-I PP_0046,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),447,opdT-I,PP_0046,opdT-I
2867,Q88RT2,Q88RT2_PSEPK,unreviewed,Response regulator,czcR-II PP_0047,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),224,czcR-II,PP_0047,czcR-II
2177,Q88RT1,Q88RT1_PSEPK,unreviewed,Uncharacterized protein,PP_0048,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),107,PP_0048,PP_0048,PP_0048
154,Q88RT0,Q88RT0_PSEPK,unreviewed,Uncharacterized protein,PP_0049,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),488,PP_0049,PP_0049,PP_0049
3215,Q88RS9,Q88RS9_PSEPK,unreviewed,Uncharacterized protein,PP_0050,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),135,PP_0050,PP_0050,PP_0050
948,Q88RS8,Q88RS8_PSEPK,unreviewed,Putative sigma-54 dependent transcriptional regulator,PP_0051,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),430,PP_0051,PP_0051,PP_0051
757,Q88RS7,Q88RS7_PSEPK,unreviewed,"Beta-lactamase domain protein, putative hydrolase",PP_0052,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),294,PP_0052,PP_0052,PP_0052
2122,Q88RS6,Q88RS6_PSEPK,unreviewed,Putative sulfide:quinone oxidoreductase,PP_0053,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),422,PP_0053,PP_0053,PP_0053
3426,Q88RS5,Q88RS5_PSEPK,unreviewed,Probable membrane transporter protein,PP_0054,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),285,PP_0054,PP_0054,PP_0054
517,Q88RS4,Q88RS4_PSEPK,unreviewed,Transcriptional regulator,PP_0055,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),295,PP_0055,PP_0055,PP_0055
4405,Q88RS3,Q88RS3_PSEPK,unreviewed,Choline dehydrogenase (EC 1.1.99.1),betA-I PP_0056,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),550,betA-I,PP_0056,betA-I
4753,Q88RS2,Q88RS2_PSEPK,unreviewed,Major facilitator family transporter,PP_0057,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),539,PP_0057,PP_0057,PP_0057
3528,Q88RS1,Q88RS1_PSEPK,unreviewed,Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,PP_0058,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),261,PP_0058,PP_0058,PP_0058
5466,Q88RS0,GMHBB_PSEPK,reviewed,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)",gmhB PP_0059,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),175,gmhB,PP_0059,gmhB
5024,Q88RR9,SYGB_PSEPK,reviewed,Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS),glyS PP_0060,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),684,glyS,PP_0060,glyS
5176,Q88RR8,SYGA_PSEPK,reviewed,Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS),glyQ PP_0061,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),315,glyQ,PP_0061,glyQ
1520,Q88RR7,Q88RR7_PSEPK,unreviewed,3-methyl-adenine DNA glycosylase I (EC 3.2.2.20),tag PP_0062,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),183,tag,PP_0062,tag
4660,Q88RR6,Q88RR6_PSEPK,unreviewed,Putative Lipid A biosynthesis lauroyl acyltransferase,PP_0063,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),295,PP_0063,PP_0063,PP_0063
2510,Q88RR5,Q88RR5_PSEPK,unreviewed,TPR_REGION domain-containing protein,PP_0064,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),104,PP_0064,PP_0064,PP_0064
3983,Q88RR4,Q88RR4_PSEPK,unreviewed,Trk system potassium uptake protein TrkA,trkA PP_0065,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),457,trkA,PP_0065,trkA
4921,Q88RR3,RSMB_PSEPK,reviewed,Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB),rsmB rrmB sun PP_0066,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),436,rsmB,PP_0066,rsmB
5291,Q88RR2,FMT_PSEPK,reviewed,Methionyl-tRNA formyltransferase (EC 2.1.2.9),fmt PP_0067,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),310,fmt,PP_0067,fmt
5321,Q88RR1,DEF1_PSEPK,reviewed,Peptide deformylase 1 (PDF 1) (EC 3.5.1.88) (Polypeptide deformylase 1),def1 PP_0068,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),168,def-I,PP_0068,def1 
2575,Q88RR0,Q88RR0_PSEPK,unreviewed,Putative Rossmann fold nucleotide-binding protein,PP_0069,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),365,PP_0069,PP_0069,PP_0069
5093,Q88RQ9,TSAC_PSEPK,reviewed,Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC),tsaC rimN PP_0070,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),185,tsaC,PP_0070,tsaC
73,Q88RQ8,Q88RQ8_PSEPK,unreviewed,Uncharacterized protein,PP_0071,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),110,PP_0071,PP_0071,PP_0071
364,Q88RQ7,Q88RQ7_PSEPK,unreviewed,Quinone oxidoreductase (EC 1.6.5.5),qor-I PP_0072,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),325,qor-I,PP_0072,qor-I
5495,Q88RQ6,HEM6_PSEPK,reviewed,Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3),hemF PP_0073,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),303,hemF,PP_0073,hemF
2865,Q88RQ5,Q88RQ5_PSEPK,unreviewed,Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25),aroE PP_0074,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),274,aroE,PP_0074,aroE
1017,Q88RQ4,Q88RQ4_PSEPK,unreviewed,Putative choline sulfate transporter,PP_0075,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),521,PP_0075,PP_0075,PP_0075
2820,Q88RQ3,Q88RQ3_PSEPK,unreviewed,Putative choline betaine-binding protein,PP_0076,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),307,PP_0076,PP_0076,PP_0076
3594,Q88RQ2,Q88RQ2_PSEPK,unreviewed,Choline-sulfatase (EC 3.1.6.6),betC PP_0077,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),505,betC,PP_0077,betC
3010,Q88RQ0,Q88RQ0_PSEPK,unreviewed,Putative transcriptional regulator,PP_0079,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),299,PP_0079,PP_0079,PP_0079
1022,Q88RP9,Q88RP9_PSEPK,unreviewed,NAD(P)-bd_dom domain-containing protein,PP_0080,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),205,PP_0080,PP_0080,PP_0080
3223,Q88RP8,Q88RP8_PSEPK,unreviewed,Uncharacterized protein,PP_0081,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),123,PP_0081,PP_0081,PP_0081
5133,Q88RP7,TRPA_PSEPK,reviewed,Tryptophan synthase alpha chain (EC 4.2.1.20),trpA PP_0082,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),269,trpA,PP_0082,trpA
5090,Q88RP6,TRPB_PSEPK,reviewed,Tryptophan synthase beta chain (EC 4.2.1.20),trpB PP_0083,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),405,trpB,PP_0083,trpB
2457,Q88RP5,Q88RP5_PSEPK,unreviewed,HTH-type transcriptional regulator TrpI,trpI PP_0084,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),298,trpI,PP_0084,trpI
2830,Q88RP4,Q88RP4_PSEPK,unreviewed,Uncharacterized protein,PP_0085,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),162,PP_0085,PP_0085,PP_0085
3695,Q88RP3,Q88RP3_PSEPK,unreviewed,Uncharacterized protein,PP_0086,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),71,PP_0086,PP_0086,PP_0086
2938,Q88RP2,Q88RP2_PSEPK,unreviewed,Uncharacterized protein,PP_0087,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),87,PP_0087,PP_0087,PP_0087
534,Q88RP1,Q88RP1_PSEPK,unreviewed,Putative alkanal monooxygenase (EC 1.14.-.-),PP_0088,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),334,PP_0088,PP_0088,PP_0088
1892,Q88RP0,Q88RP0_PSEPK,unreviewed,"Stress-induced peroxiredoxin, lipoyl-dependent peroxidase",osmC PP_0089,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),141,osmC,PP_0089,osmC
2523,Q88RN9,Q88RN9_PSEPK,unreviewed,Uncharacterized protein,PP_0090,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),98,PP_0090,PP_0090,PP_0090
2650,Q88RN8,Q88RN8_PSEPK,unreviewed,Putative lipoprotein,PP_0091,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),137,PP_0091,PP_0091,PP_0091
2949,Q88RN7,Q88RN7_PSEPK,unreviewed,Putative lipoprotein,PP_0092,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),137,PP_0092,PP_0092,PP_0092
2676,Q88RN6,Q88RN6_PSEPK,unreviewed,Putative zinc protease protein,PP_0093,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),358,PP_0093,PP_0093,PP_0093
4596,Q88RN5,Q88RN5_PSEPK,unreviewed,5'-nucleotidase (EC 3.1.3.5),PP_0094,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),216,PP_0094,PP_0094,PP_0094
3333,Q88RN4,Q88RN4_PSEPK,unreviewed,Uncharacterized protein,yrdA PP_0095,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),182,yrdA,PP_0095,yrdA
3993,Q88RN3,Q88RN3_PSEPK,unreviewed,Oligopeptidase A (EC 3.4.24.70),prlC PP_0096,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),683,prlC,PP_0096,prlC
2982,Q88RN2,Q88RN2_PSEPK,unreviewed,Uncharacterized protein,PP_0097,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),93,PP_0097,PP_0097,PP_0097
1840,Q88RN1,Q88RN1_PSEPK,unreviewed,Uncharacterized protein,PP_0098,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),57,PP_0098,PP_0098,PP_0098
2933,Q88RN0,Q88RN0_PSEPK,unreviewed,Elp3 domain-containing protein,PP_0099,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),352,PP_0099,PP_0099,PP_0099
1245,Q88RM9,Q88RM9_PSEPK,unreviewed,Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),cynT PP_0100,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),239,cynT,PP_0100,cynT
4478,Q88RM8,Q88RM8_PSEPK,unreviewed,Putative sulfate transporter,PP_0101,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),505,PP_0101,PP_0101,PP_0101
4217,Q88RM6,Q88RM6_PSEPK,unreviewed,Cytochrome c oxidase subunit 2 (EC 7.1.1.9),PP_0103,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),375,PP_0103,PP_0103,PP_0103
3861,Q88RM5,Q88RM5_PSEPK,unreviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),ctaD PP_0104,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),529,ctaD,PP_0104,ctaD
4444,Q88RM4,Q88RM4_PSEPK,unreviewed,Cytochrome c oxidase assembly protein CtaG,PP_0105,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),188,PP_0105,PP_0105,PP_0105
4321,Q88RM3,Q88RM3_PSEPK,unreviewed,Cytochrome aa3 subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III),PP_0106,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),295,PP_0106,PP_0106,PP_0106
2489,Q88RM2,Q88RM2_PSEPK,unreviewed,SURF1-like protein,PP_0107,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),245,PP_0107,PP_0107,PP_0107
3602,Q88RM1,Q88RM1_PSEPK,unreviewed,Uncharacterized protein,PP_0108,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),193,PP_0108,PP_0108,PP_0108
3655,Q88RM0,Q88RM0_PSEPK,unreviewed,Uncharacterized protein,PP_0109,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),359,PP_0109,PP_0109,PP_0109
5374,Q88RL9,CYOE1_PSEPK,reviewed,Protoheme IX farnesyltransferase 1 (EC 2.5.1.141) (Heme B farnesyltransferase 1) (Heme O synthase 1),cyoE1 cyoE-1 PP_0110,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),297,PP_0110,PP_0110,PP_0110
1058,Q88RL8,Q88RL8_PSEPK,unreviewed,Electron transport protein SCO1/SenC,PP_0111,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),210,PP_0111,PP_0111,PP_0111
2732,Q88RL7,Q88RL7_PSEPK,unreviewed,"Methionine ABC transporter, periplasmic binding protein",metQ PP_0112,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),256,metQ,PP_0112,metQ
2845,Q88RL6,Q88RL6_PSEPK,unreviewed,"Methionine ABC transporter, permease protein",metI PP_0113,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),223,metI,PP_0113,metI
5521,Q88RL5,METN1_PSEPK,reviewed,Methionine import ATP-binding protein MetN 1 (EC 7.4.2.11),metN1 PP_0114,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),335,metN,PP_0114,metN
2874,Q88RL4,Q88RL4_PSEPK,unreviewed,Catalase (EC 1.11.1.6),katE PP_0115,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),711,katE,PP_0115,katE
3196,Q88RL3,Q88RL3_PSEPK,unreviewed,Putative lipoprotein,PP_0116,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),235,PP_0116,PP_0116,PP_0116
4528,Q88RL2,Q88RL2_PSEPK,unreviewed,Zn(2+) ABC transporter-permease subunit,znuB PP_0117,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),260,znuB,PP_0117,znuB
